Textbook_ID,ISBN,Publication_Date,Publication_Mode,Customer ID,Customer Name,Country,City,State,Postal Code,Region,Product ID,Category,Roaring_Content_type,Quantity,Discount,Profit,Roaring_Page_Number,Roaring_Sound_Length,Roaring_Sound_Frequency,Roaring_Sound_Intensity,Roaring_Sound_Location,Roaring_Sound_Size,Roaring_Visual_Effect_Duration,Roaring_Visual_Effect_Illustrator
7981,CA-2014-103800,03-01-2014,Standard Class,DP-13000,Darren Powers,United States,Houston,Texas,77095,Central,OFF-PA-10000174,Office Supplies,16.448,2,0.2,5.5512,85,115,16,60,36.23472461,16.448,110,101.5
740,CA-2014-112326,04-01-2014,Standard Class,PO-19195,Phillina Ober,United States,Naperville,Illinois,60540,Central,OFF-LA-10003223,Office Supplies,11.784,3,0.2,4.2717,80,121,12,68,37.12889012,11.784,345,101.5
741,CA-2014-112326,04-01-2014,Standard Class,PO-19195,Phillina Ober,United States,Naperville,Illinois,60540,Central,OFF-ST-10002743,Office Supplies,272.736,3,0.2,-64.7748,81,119,14,83,36.48114125,272.736,580,101.51
742,CA-2014-112326,04-01-2014,Standard Class,PO-19195,Phillina Ober,United States,Naperville,Illinois,60540,Central,OFF-BI-10004094,Office Supplies,3.54,2,0.8,-5.487,79,116,13,81,36.58880255,3.54,815,101.51
1760,CA-2014-141817,05-01-2014,Standard Class,MB-18085,Mick Brown,United States,Philadelphia,Pennsylvania,19143,East,OFF-AR-10003478,Office Supplies,19.536,3,0.2,4.884,84,122,16,61,36.14636218,19.536,1050,101.51
5328,CA-2014-130813,06-01-2014,Second Class,LS-17230,Lycoris Saunders,United States,Los Angeles,California,90049,West,OFF-PA-10002005,Office Supplies,19.44,3,0,9.3312,76,115,13,84,36.8082788,19.44,1285,101.51
7181,CA-2014-106054,06-01-2014,First Class,JO-15145,Jack O'Briant,United States,Athens,Georgia,30605,South,OFF-AR-10002399,Office Supplies,12.78,3,0,5.2398,82,122,14,84,36.65389923,12.78,1520,101.5
7475,CA-2014-167199,06-01-2014,Standard Class,ME-17320,Maria Etezadi,United States,Henderson,Kentucky,42420,South,FUR-CH-10004063,Furniture,2573.82,9,0,746.4078,83,123,15,73,37.00070276,2573.82,1755,101.5
7476,CA-2014-167199,06-01-2014,Standard Class,ME-17320,Maria Etezadi,United States,Henderson,Kentucky,42420,South,OFF-BI-10004632,Office Supplies,609.98,2,0,274.491,76,116,13,61,36.3535185,609.98,1990,101.5
7477,CA-2014-167199,06-01-2014,Standard Class,ME-17320,Maria Etezadi,United States,Henderson,Kentucky,42420,South,OFF-AR-10001662,Office Supplies,5.48,2,0,1.4796,85,118,12,96,36.69628466,5.48,2225,101.5
7478,CA-2014-167199,06-01-2014,Standard Class,ME-17320,Maria Etezadi,United States,Henderson,Kentucky,42420,South,TEC-PH-10004977,Technology,391.98,2,0,113.6742,83,125,16,100,36.30835013,391.98,2460,101.5
7479,CA-2014-167199,06-01-2014,Standard Class,ME-17320,Maria Etezadi,United States,Henderson,Kentucky,42420,South,TEC-PH-10004539,Technology,755.96,4,0,204.1092,79,120,16,95,36.15897225,755.96,2695,101.49
7480,CA-2014-167199,06-01-2014,Standard Class,ME-17320,Maria Etezadi,United States,Henderson,Kentucky,42420,South,OFF-FA-10001883,Office Supplies,31.12,4,0,0.3112,77,122,14,80,37.11132331,31.12,2930,101.49
7481,CA-2014-167199,06-01-2014,Standard Class,ME-17320,Maria Etezadi,United States,Henderson,Kentucky,42420,South,OFF-PA-10000955,Office Supplies,6.54,1,0,3.0084,76,122,13,77,36.72337045,6.54,3165,101.49
7661,CA-2014-105417,07-01-2014,Standard Class,VS-21820,Vivek Sundaresam,United States,Huntsville,Texas,77340,Central,FUR-FU-10004864,Furniture,76.728,3,0.6,-53.7096,79,121,13,60,36.70752064,76.728,3400,101.48
7662,CA-2014-105417,07-01-2014,Standard Class,VS-21820,Vivek Sundaresam,United States,Huntsville,Texas,77340,Central,OFF-BI-10003708,Office Supplies,10.43,7,0.8,-18.2525,75,120,13,63,37.00899879,10.43,3635,101.48
593,CA-2014-135405,09-01-2014,Standard Class,MS-17830,Melanie Seite,United States,Laredo,Texas,78041,Central,OFF-AR-10004078,Office Supplies,9.344,2,0.2,1.168,84,124,15,100,36.63064495,9.344,3870,101.48
594,CA-2014-135405,09-01-2014,Standard Class,MS-17830,Melanie Seite,United States,Laredo,Texas,78041,Central,TEC-AC-10001266,Technology,31.2,3,0.2,9.75,82,119,13,89,36.56663509,31.2,4105,101.48
866,CA-2014-149020,10-01-2014,Standard Class,AJ-10780,Anthony Jacobs,United States,Springfield,Virginia,22153,South,OFF-LA-10004272,Office Supplies,2.89,1,0,1.3583,76,124,14,81,36.23531324,2.89,4340,101.48
867,CA-2014-149020,10-01-2014,Standard Class,AJ-10780,Anthony Jacobs,United States,Springfield,Virginia,22153,South,FUR-FU-10000965,Furniture,51.94,1,0,21.2954,78,124,16,66,37.1792829,51.94,4575,101.48
717,CA-2014-130092,11-01-2014,First Class,SV-20365,Seth Vernon,United States,Dover,Delaware,19901,East,FUR-FU-10000010,Furniture,9.94,2,0,3.0814,82,116,15,86,36.64314339,9.94,4810,101.47
764,CA-2014-162775,13-01-2014,Second Class,CS-12250,Chris Selesnick,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001990,Office Supplies,11.36,2,0,5.3392,79,118,13,96,36.32977134,11.36,5045,101.47
765,CA-2014-162775,13-01-2014,Second Class,CS-12250,Chris Selesnick,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001532,Office Supplies,50.94,3,0,25.47,81,120,13,60,36.23848614,50.94,5280,101.46
766,CA-2014-162775,13-01-2014,Second Class,CS-12250,Chris Selesnick,United States,Bossier City,Louisiana,71111,South,TEC-AC-10003174,Technology,646.74,6,0,258.696,80,122,13,86,37.07959411,646.74,5515,101.46
767,CA-2014-162775,13-01-2014,Second Class,CS-12250,Chris Selesnick,United States,Bossier City,Louisiana,71111,South,OFF-BI-10004187,Office Supplies,5.64,3,0,2.7072,84,125,14,66,36.53561954,5.64,5750,101.46
768,CA-2014-162775,13-01-2014,Second Class,CS-12250,Chris Selesnick,United States,Bossier City,Louisiana,71111,South,OFF-ST-10000025,Office Supplies,572.58,6,0,34.3548,80,116,13,76,37.07450331,572.58,5985,101.45
2979,CA-2014-109232,13-01-2014,Second Class,ND-18370,Natalie DeCherney,United States,Mount Pleasant,South Carolina,29464,South,FUR-CH-10000422,Furniture,545.94,6,0,87.3504,78,121,15,87,36.9669352,545.94,6220,101.44
4938,CA-2014-157147,13-01-2014,Standard Class,BD-11605,Brian Dahlen,United States,San Francisco,California,94109,West,OFF-ST-10000078,Office Supplies,1325.85,5,0,238.653,79,115,15,62,36.40015401,1325.85,6455,101.43
4939,CA-2014-157147,13-01-2014,Standard Class,BD-11605,Brian Dahlen,United States,San Francisco,California,94109,West,FUR-BO-10003034,Furniture,333.999,3,0.15,3.9294,83,119,15,83,36.21274808,333.999,6690,101.42
4940,CA-2014-157147,13-01-2014,Standard Class,BD-11605,Brian Dahlen,United States,San Francisco,California,94109,West,OFF-AR-10003514,Office Supplies,19.9,5,0,6.567,75,115,16,80,36.15647727,19.9,6925,101.41
9629,CA-2014-118192,13-01-2014,Standard Class,MM-17920,Michael Moore,United States,Newark,Ohio,43055,East,OFF-PA-10002947,Office Supplies,37.408,7,0.2,13.0928,82,122,15,91,36.73135596,37.408,7160,101.4
9630,CA-2014-118192,13-01-2014,Standard Class,MM-17920,Michael Moore,United States,Newark,Ohio,43055,East,OFF-BI-10003476,Office Supplies,3.438,2,0.7,-2.5212,85,115,12,69,36.64533462,3.438,7395,101.4
